shell_r,count_all,avg_all,count_nz,avg_nz,sum2_all,sum2_nz
55,390,0.0725034965034963,360,0.07854545454545432,3.254579589412957,3.254579589412957
56,54,0.0932944606413994,48,0.10495626822157433,0.5287592754719547,0.5287592754719547
57,630,0.08855708574812457,624,0.08940859618801038,6.891267176103527,6.891267176103527
58,174,0.09446881790971332,144,0.11414982164090359,2.2288582999253332,2.2288582999253332
59,366,0.058286802671654016,360,0.059258249382848245,1.9325700126459482,1.9325700126459482
60,150,0.05783703703703699,120,0.07229629629629625,0.8133004115226348,0.8133004115226348
61,366,0.09609817128479228,336,0.10467836514950589,4.48104923800322,4.48104923800322
62,198,0.091400392430905,192,0.09425665469437078,2.2522356794596794,2.2522356794596794
63,918,0.07890804110526563,912,0.07942717295464238,8.949056961806876,8.949056961806876
64,6,0.0,0,0.0,0.0,0.0
65,390,0.07357053324463429,288,0.0996267637687756,3.3290265332645164,3.3290265332645164
66,390,0.08070191210687068,384,0.08196287948354054,3.762748615254268,3.762748615254268
67,414,0.09497236665761251,408,0.09636901910845974,4.765688752409901,4.765688752409901
68,102,0.0896540989691215,72,0.1270099735395888,1.5051007000746408,1.5051007000746408
69,750,0.07619200691609669,744,0.07680645858477489,6.335359102497298,6.335359102497298
70,270,0.07090379008746352,240,0.07976676384839647,2.1700280665368976,2.1700280665368976
71,438,0.09776181061006844,432,0.09911961353520829,5.618738911116538,5.618738911116538
72,102,0.09166464939885428,96,0.09739368998628267,1.185727107995054,1.185727107995054
73,438,0.07161908373127758,408,0.07688519282916564,3.7770402959369864,3.7770402959369864
74,222,0.06454087989238917,192,0.07462539237557497,1.524185781571382,1.524185781571382
75,750,0.08516190814814843,696,0.0917692975734358,8.40061619094649,8.40061619094649
76,126,0.07298023451981756,120,0.07662924624580844,1.0293978339995393,1.0293978339995393
77,702,0.08176407839082822,696,0.08246894113557675,7.064394508321363,7.064394508321363
78,390,0.08708067333465602,360,0.09433739611254403,4.3361348152455115,4.3361348152455115
79,486,0.06168725440020413,480,0.06245834508020668,2.4865511080878564,2.4865511080878564
80,30,0.0,0,0.0,0.0,0.0
81,966,0.0806735690999092,960,0.08117777890678364,9.155298666256725,9.155298666256725
82,246,0.0778664579205389,216,0.08868124374283595,2.311834281280562,2.311834281280562
83,510,0.09825690952996795,504,0.09942663464341994,6.635071463968905,6.635071463968905
84,270,0.09417749463100945,264,0.09631789223625967,2.848860845647897,2.848860845647897
85,510,0.07155776391566197,408,0.08944720489457746,4.553898655162837,4.553898655162837
86,270,0.059768322286088124,264,0.061126693247135586,1.8652618969361767,1.8652618969361767
87,870,0.07310458146264533,840,0.07571545937202552,7.286558996905321,7.286558996905321
88,78,0.10818933132982728,72,0.11720510894064622,1.1763456070663096,1.1763456070663096
89,534,0.08788414172200203,504,0.09311534063402596,5.564318283476398,5.564318283476398
90,510,0.0781137739046237,480,0.0829958847736627,4.527717387254662,4.527717387254662
91,702,0.07436836894446054,672,0.07768838541519539,6.394366080243141,6.394366080243141
92,150,0.06722445960384651,144,0.07002547875400679,0.8753233075798273,0.8753233075798273
93,990,0.08359984585466515,984,0.08410960101231554,10.25144617167874,10.25144617167874
94,294,0.08140699428206592,288,0.08310297332960898,2.721226778825402,2.721226778825402
95,630,0.07234040780621911,600,0.07595742819653006,4.906735517015812,4.906735517015812
96,30,0.11851851851851845,24,0.14814814814814806,0.5267489711934153,0.5267489711934153
97,582,0.08663167613436308,552,0.09133991940253498,6.4057095625138345,6.4057095625138345
98,390,0.09275883870993042,384,0.09420819556477307,4.1842360253760065,4.1842360253760065
99,1326,0.07934918451852477,1320,0.07970986262997261,12.447304753885682,12.447304753885682
100,150,0.10321919999999983,96,0.16127999999999973,2.548039679999997,2.548039679999997
